,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"淡路県民局管内

          平成２８年４月１日現在
",,,,,,,,,,,,,,,,,
,,"施設名
","所在地
","電話番号
","設置者
","受入時間
",,"休日
保育
","時間
預か
 り
","乳児
の
受入
","定員
","職　員　数
",,,,"認可外保育施設
 指導監督基準
  適合状況
",
,,,,,,"開始
","終了
",,,,,"保育士
",,"保育補助者
",,,
,,,,,,,,,,,,"常勤
","非常勤
","常勤
","非常勤
","    特定認可外
勤   保育施設
"," 国証明
(交付日）
"
,"1
","県立淡路医療センター
院内保育室
","〒656-0021
洲本市塩屋1-1-137
"," (0799)
22-1200
","兵庫県
","8:00
","18:00
","無
","有
","有
","25
","2
","3
","0
","0
",,
,"2
","いちご保育園
","〒656-0014
洲本市桑間493-2
"," (0799)
25-5800
","医療法人いちえ会
洲本伊月病院
","7:30
","18:30
","有
","有
","有
","30
","3
","2
","0
","0
",,
,"3
","宇山たちばな保育所
","〒656-0012
洲本市宇山1-5-16
"," (0799)
22-9603
","社会福祉法人
洲本たちばな福祉会
","8:00
","19:00
","祝有
日無
","無
","無
","なし
","1
","0
","0
","0
",,
,"4
","真愛インターナショナ
ルプレスクール
","〒656-0046
洲本市金屋1268-1
"," (0799)
45-1991
","ジム・スナイプ
","9:30
","15:30
","無
","無
","無
","なし
","1
","0
","1
","2
",,
,"5
","子育て支援ハウス
いちごキッズ・上物部
","〒656-0053
洲本市上物部951-1
"," (0799)
25-1519
","社会福祉法人
いちえ福祉会
","6:30
","20:30
","有
","有
","有
","30
","2
","4
","0
","1
",,
,"6
","翠鳳第一病院保育室
","〒656-0122
南あわじ市
広田広田134-1
"," (0799)
45-0099
","医療法人社団翠鳳会
翠鳳第一病院
","8:00
","18:30
","無
","有
","有
","19
","1
","3
","0
","1
",,
,"7
","中林病院託児所
","〒656-0455
南あわじ市
神代国衙1680-1
"," (0799)
42-6200
","医療法人社団中正会
中林病院
","8:00
","20:00
","有
","有
","有
","なし
","1
","1
","0
","4
",,
,"8
","平成保育所
","〒656-0442
南あわじ市
八木養宜中173
"," (0799)
42-5335
","医療法人社団淡路平成
会
平成病院
","7:00
","18:00
","有
","有
","有
","30
","2
","8
","0
","1
",,
,"9
","南淡路病院託児所
","〒656-0516
南あわじ市
賀集福井560
"," (0799)
53-1553
","医療法人社団南淡千遙会
南淡路病院
","8:00
","17:30
","有
","有
","有
","25
","5
","2
","0
","1
","　
","　
"
