,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"阪神南県民センター管内
",,,,,,,,,,,,,,,,,
,"施設名
"," 所在地
","電話番号
","設置者
","受入時間
",,"時間
外の
有無
","休日
保育
","時間
預か
り
","乳児
の
受入
","定員
","職員数
",,,,"認可外保育施設指導監督
  基準適合状況
",
,,,,,"開始
","終了
",,,,,,"保育士
",,"保育補助者
",,,
,,,,,,,,,,,,"常勤
","非常勤
","常勤
","非常勤
","特定認可外
保育施設
"," 国証明
(交付日）
"
"13
","チャイルドルーム
こどもの森芦屋
","〒659-0092
芦屋市大原町２８－１パル
ティ芦屋２Ｆ
","（0797）
78-8107
","チャイルドケア
サービス(有)
","9:00
","18:00
","○
","無
","有
","有
","27
","3
","1
","1
","2
",,"   ○

（Ｈ28.3.24）
"
"14
","このはのおうち
","〒659-0083
芦屋市西山町１１－５　２Ｆ
","（0797）
22-5847
","（株）このはのおうち
","9:00
","18:00
","○
","無
","有
","有
","15
","2
","1
","0
","2
",,
"15
","おうちｄｅ保育
ステラプリスクール芦屋
","〒659-0093
芦屋市船戸町８－１５
","（0797）
26-7878
","（株）クラッシー
","8:00
","18:00
","○
","有
","有
","有
","12
","2
","0
","0
","2
",,
