,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"西播磨県民局管内

           平成28年4月1日現在
",,,,,,,,,,,,,,,,
"  
","設置名
","所在地
","電話番号
","設置者
","受け入れ時間
",,"休日
保育
","時間
預か
 り
","乳児
の受
 入
","定員
","職員数
",,,,"    認可外保育施設指導監督
      基準適合状況
者
",
,,,,,,,,,,,"保育士
",,"保育補助者
",,,
,,,,,"開始
","終了
",,,,,"常勤 非
","非常勤
","勤 常勤 非
","非常勤
","    特定認可外
勤   保育施設
"," 国証明
(交付日）
"
"1
","魚橋病院内保育所
","〒678-0081
相生市
若狭野町若狭野235-26
","(0791)
28-1395
","医療法人社団 魚橋会
","8:00
","18:00
","有
","有
","有
","24
","6
","0
","0
","0
",,
"2
","IHI播磨病院内託児所
","〒678-0051
相生市那波大浜町13-27
シャルムみつひろ102号室
","(0791)
23-5558
","IHIグループ健康保険
組合
","7:30
","18:30
","無
","有
","有
","15
","1
","2
","0
","2
",,
"3
","いるか園
","〒678-0239
赤穂市加里屋2229-1
","(0791)
42-1559
","山口　環
","8:00
","18:00
","無
","有
","有
","21
","3
","2
","1
","0
",,
"4
","赤穂中央病院内託児所
たんぽぽ保育園
","〒678-0205
赤穂市大町3-5
","(0791)
43-5835
","医療法人 伯鳳会
","8:00
","19:00
","無
","有
","有
",,"4
","2
","0
","2
",,
"5
","赤穂市民病院看護師託
児所
ひまわり園
","〒678-0232
赤穂市中広1090
","(0791)
43-3222
","赤穂市
","7:30
","19:00
","無
","有
","有
","40
","5
","1
","0
","1
",,
"6
","姫路ヤクルト販売（株）
赤穂センター託児所
","〒678-0239
赤穂市加里屋中州6-33
","(0791)
42-2421
","姫路ヤクルト販売（株）
","8:30
","15:30
","無
","有
","無
","10
","2
","0
","0
","0
",,
"7
","ちびっこランド
たつの園
","〒679-4167
たつの市
龍野町富永164-22
","(0791)
63-1316
","米田　祐一郎
","7:30
","18:00
","無
","有
","有
","27
","0
","3
","1
","0
",,
"8
","とくなが病院
ひまわり保育所
","〒679-4109
たつの市
神岡町東觜崎543-1
","(0791)
61-9011
","徳永　金清
","8:00
","20:00
","有
","有
","有
","30
","3
","4
","0
","0
",,
"9
","事業所内託児施設
くるみのおうち
","〒679-4003
たつの市
揖西町小神字塚原1556-1
","(0791)
66-1360
","社会福祉法人
桑の実園福祉会
","7:00
","20:00
","有
","有
","有
","22
","3
","1
","0
","0
",,
"10
","姫路ヤクルト販売（株）
西播磨センター託児所
赤とんぼルーム
","〒679-4016
たつの市
揖西町南山331-1
","(0791)
66-0364
","姫路ヤクルト販売（株）
","8:30
","15:30
","無
","有
","無
",,"3
","0
","0
","0
",,
"11
","姫路ヤクルト販売（株）
山崎センター託児所
バンビルーム
","〒671-2555
宍粟市
山崎町金谷123-20
","(0790)
62-0562
","姫路ヤクルト販売（株）
","8:30
","15:30
","無
","有
","無
",,"1
","2
","1
","1
",,
"12
","ブンセンちびっこ園
","〒679-4313
たつの市新宮町新宮426
","(0791)
75-1151
","ブンセン（株）
","7:30
","17:30
","無
","無
","無
","20
","3
","1
","0
","0
",,
