,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"阪神北県民局管内
",,,,,,,,,,,,,,,,
"  
","施設名  
"," 所在地    
","電話番号  
","設置者
","受入時間
",,"休日
保育
","時間
預か
 り
","乳児
の受
入
","定員
","職員数
",,,,"  認可外保育施設指導監
者   督基準適合状況
",
,,,,,"開始
","終了
",,,,,"保育士
",,"保育補助者
",,,
,,,,,,,,,,,"常勤非
","非常勤
","勤常勤非
","非常勤
","    特定認可外
勤   保育施設
"," 国証明
(交付日）
"
"38
","医療法人財団　愛野会
院内保育所
","〒669-1357
三田市東本庄2493
","(079)
568-1351
","（医）財団愛野会
","8:30
","19:30
","有
","無
","有
","48
","1
","2
","1
","2
",,
"39
","ファミリ－ハウス
","〒669-1531
三田市天神1丁目2-15
","(079)
563-5749
","（医）社団尚仁会
","8:20
","19:00
","有
","有
","有
","45
","1
","2
","0
","0
",,
"40
","さくら保育所
","〒669-1357
三田市東本庄1188
","(079)
568-4103
","社会福祉法人
枚方療育園
","8:30
","19:00
","有
","有
","有
","30
","10
","1
","0
","0
",,
"41
","医療法人敬愛会
三田高原病院
","〒669-1333
三田市下内神525-1
","(079)
567-5555
","（医）敬愛会
","8:20
","17:30
","無
","有
","有
","13
","3
","3
","0
","0
",,
"42
","保育所ちびっこランドさんだモーモー
園
","〒669-1535
三田市南が丘1-30-25
","(079)
553-2227
","(有)兵庫トラベル
","7:30
","19:00
","無
","有
","有
","42
","2
","1
","0
","0
",,
