,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"西播磨県民局管内
",,,,,,,,,,,,,,,,
"  
","設置名
","所在地
","電話番号
","設置者
","受け入れ時間
",,"休日
保育
","時間
預か
 り
","乳児
の受
 入
","定員
","職員数
",,,,"    認可外保育施設指導監督
      基準適合状況
者
",
,,,,,,,,,,,"保育士
",,"保育補助者
",,,
,,,,,"開始
","終了
",,,,,"常勤 非
","非常勤
","勤 常勤 非
","非常勤
","    特定認可外
勤   保育施設
"," 国証明
(交付日）
"
"13
","とみのおか保育園
","〒671-1532
揖保郡太子町糸井284-2
","(079)
277-
1766
","冨岡　悦子
","7:30
","18:00
","無
","有
","無
","95
","6
","0
","3
","0
",,
"14
","太子病院内保育園
","〒671-1561
揖保郡太子町鵤387
","(079)
277-
1616
","医療法人 味木会
","7:30
","19:00
","有
","無
","有
",,"5
","0
","3
","0
",,
"15
","佐用共立病院内託児所
なかよし園
","〒679-5301
佐用郡佐用町佐用1111
","(0790)
82-2321
","医療法人社団 一葉会
","8:15
","17:15
","無
","有
","有
","2
","1
","0
","0
","1
",,
"16
","佐用中央病院内託児所
","〒679-5383
佐用郡
佐用町佐用3529-3
","(0790)
82-2154
","医療法人 聖医会
","8:00
","17:30
","有
","有
","有
","12
","2
","1
","0
","0
",,
"17
","尾﨑病院ひまわり保育園
","〒679-5225
佐用郡
佐用町上三河141-4
","(0790)
77-0221
","尾﨑　公彦
","8:15
","17:45
","無
","有
","有
","11
","2
","1
","0
","0
",,
"18
","揖保川病院内
にこにこ保育園
","〒671-1688
たつの市
揖保川町半田703-1
","(0791)
72-6260
","医療法人 古橋会
","8:30
","17:05
","無
","有
","有
","20
","1
","4
","0
","0
",,
,,,,,,,,,,,,,,,,
"19
","こすもす倶楽部保育所
","〒678-0064
相生市野瀬1375-1
","(0791)
24-0500
","社会福祉法人
あいおい福祉会
","8:30
","18:30
","有
","有
","有
","15
","1
","3
","1
","0
",,
,,,,,,,,,,,,,,,,
"20
","キッズサポート
ひかりが丘保育園
","〒678-0074
相生市ひかりが丘20-1
","(0791)
23-1165
","中野　美里
","9:00
","16:30
","無
","有
","無
","13
","2
","0
","0
","0
",,
"21
","公立宍粟総合病院
バンビKIDS
","〒671-2576
宍粟市山崎町鹿沢115-1
","(0790)
62-8056
","宍粟市
","7:00
","21:00
","有
","有
","有
","20
","4
","0
","0
","0
",,
"22
","インターナショナル
キッズハウス太子校
","〒671-1522
揖保郡
太子町矢田部176-5
","(079)
280-
2923
","インターナショナル
キッズハウス（株）
","8:30
","17:30
","無
","無
","無
","30
","2
","0
","1
","0
",,
"23
","ちびっこランド太子園
","〒671-1561
揖保郡太子町鵤90-4
","(079)
240-
5239
","(有)セノヲ
","7:30
","18:00
","無
","有
","有
","40
","2
","1
","2
","1
",,
