,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"北播磨県民局管内

           平成２８年４月１日現在
",,,,,,,,,,,,,,,,,
,"  
","施設名
"," 所在地
","電話番号
","設置者
","受入時間
",,"休日
保育
","時間
預か
 り
","乳児
の受
入
","定員
","職員数
",,,,"認可外保育施設指導監
 督基準適合状況
",
,,,,,,"開始
","終了
",,,,,"保育士
",,"保育補助者
",,,
,,,,,,,,,,,,"常勤
","非常勤
","常勤
","非常勤
","特定認可外
保育施設
"," 国証明
(交付日）
"
,"1
","ひよこ保育園
","〒677-0056
西脇市板波町706-8
","(0795)
22-3323
","ＮＰＯ法人ひよこ保育
園
","7:30
","19:00
","有
","有
","有
","60
","5
","1
",,,"○
","   ○

（Ｈ17.7.1）
"
,"2
","西脇さくら保育園
","〒679-0321
西脇市黒田庄町田高326-1
","(0795)
28-4197
","社会福祉法人正峰会
","7:30
","18:00
","有
","有
","有
","60
","4
","5
",,"2
",,
,"3
","汽車ポッポえん
","〒673-0403
三木市末広3丁目2-46
","(0794)
82-6287
","岩本　直美
","7:00
","19:00
","有
","有
","有
","10
","1
",,,,,
,"4
","ホザナ園
","〒673-0533
三木市緑が丘町東4-10
","(0794)
84-0287
","三木ｱｶﾞﾍﾟｰ教会
","9:00
","14:00
","無
","無
","有
","60
","4
",,,,,
,"5
","しんてつ・みどりがお
か保育園
","〒673-0534
三木市
緑が丘町本町１丁目6-1
","(0794)
89-8551
","神戸電鉄(株)
","8:00
","18:00
","無
","有
","有
","20
","4
","6
",,"2
","○
","   ○

（Ｈ19.7.31）
"
,"6
","ポリーキッズ
ルーム
","〒673-0534
三木市
緑が丘町本町１丁目238-1
","(0794)
87-1888
","ポリーライフケアサー
ビス(有)
","8:00
","18:00
","無
","有
","有
","20
","1
","2
",,,,
,"7
","広野こどものえん
","〒673-0553
三木市
志染町東自由が丘2丁目
511
","(0794)
84-1933
","桑島　直子
","8:00
","17:00
","有
","有
","有
","5
","1
",,,"1
",,
,"8
","Ｓｍｉｌｅ　Kids
Nursery　School
","〒673-1442
加東市出水290-5
","(0795)
42-4616
","中上佐希帆
","8:00
","17:00
","無
","無
","無
","35
","2
",,,,,
,"9
","どんぐりっこ森のよう
ちえん
","〒673-1337
加東市松沢761-470
","(0795)
42-5986
","NPO法人北播磨生活
応援団
","8:00
","18:00
","有
","無
","無
","30
","1
","2
",,,,
