,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"平成28年4月１日現在
",,,,,,,,,,,,,,,,
,"施設名
"," 所在地
","電話番号
","設置者
","受入時間
",,"休日保育
","時間預り
","乳児受入
","定員
","職員数
",,,,"認可外保育施設指導監督基
      準
    適合状況
",
,,,,,"開始
","終了
",,,,,"保育士
",,"保育補助者
",,,
,,,,,,,,,,,"常勤
","非常勤
","常勤
","非常勤
","特定認可外保育施設
"," 国証明
(交付日）
"
"1
","ぽっぽ保育園
","〒669-2202
篠山市東吹628-1
","(079)
590-1331
","医療法人社団
紀洋会
（岡本病院）
","24時間
",,"有
","有
","有
","－
","5
","0
","0
","0
",,
"2
","兵庫医科大学
ささやま医療センター
院内保育所
","〒669-2337
篠山市山内町64-
3　　　　　　　職員
宿舎B棟102
","(079)
552-7350
","学校法人
兵庫医科大学
","7:30
","18:30
","無
","有
","有
","15
","2
","1
","2
","0
",,
"3
","託児室ころころ
","〒669-2714
篠山市垣屋244
","(079)
550-6633
","合同会社
パートナー
","8:30
","17:00
","有
","有
","無
","－
","1
","1
","0
","1
",,
"4
","ドリーム国際保育所
","〒669-2367
篠山市熊谷50
","(079）
552-1331
","(個人)
辻　　長俊
","7:00
","18:00
","無
","有
","有
","－
","1
","0
","1
","0
",,
"5
","医療法人敬愛会
大塚病院院内
保育施設ひまわり
","〒669-3641
丹波市氷上町絹
山532-3
","(0795)
82-7534
","医療法人
敬愛会
","8:30
","17:00
","有
","有
","有
","9
","1
","3
","0
","0
",,
"6
","サボテンハウス
","〒669-2211
篠山市大沢新112
","(079)
594-1411
","フルヤ工業
株式会社
","8:30
","18:30
","無
","有
","有
","19
","1
","4
","0
","0
",,
"7
","青葉保育園
","〒669-3571
丹波市氷上町新
郷1711
","(0795)
82-4766
","社会福祉法人
青葉福祉会
","8:30
","17:30
","有
","有
","有
","9
","0
","2
","0
","0
",,
"8
","わんぱくランド保育園
","〒669-3461
丹波市氷上町市
辺316-1
","(0795)
80-2731
","有限会社
国際体育研究
所
","9:00
","15:00
","無
","有
","無
","29
","1
","2
","0
","2
","○
","   ○

（Ｈ23.3.10）
"
