,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"東播磨県民局管内

           平成２８年４月１日現在
",,,,,,,,,,,,,,,,,
,"  
","施設名
","所在地
","電話番号
","設置者
","受付時間
",,"休日
保育
","時間
預か
 り
","乳児
の受
入
","定員
","職員数
",,,,"認可外保育施設指導
監督基準適合状況
",
,,,,,,"開始
","終了
",,,,,"保育士
",,"保育補助者
",,,
,,,,,,,,,,,,"常勤
","非常勤
","常勤
","非常勤
","特定認可外保
 育施設
"," 国証明
(交付日）
"
,"1
","サクラインターナショナルス
クール
","〒673-0873
明石市山下町13-11 米澤ビ
ル３F
","(078)
914-7351
","(株）関西国際学園
","8:00
","18:00
","無
","無
","無
","91
","2
","1
","21
","2
",,
,"2
","大久保駅前保育所
","〒674-0058
明石市大久保町駅前1-9-5
","(078)
934-4676
","伊藤　隆
","9:00
","13:30
","無
","無
","無
","32
","4
","0
","0
","0
",,
,"3
","ＣＷＬ 魚住保育園
","〒674-0084
明石市魚住町西岡504-13
パッセ魚住１Ｆ
","(078)
946-6020
09039917770
","柏木　崇
","7:30
","18:00
","無
","有
","有
","42
","3
","0
","1
","0
",,"   ○
(H28.3.29)
"
,"4
","ベビールームチェリッシュ
","〒674-0058
明石市大久保町駅前1－16
－6
","(078)
938-6586
","田中　知津
","7:00
","20:00
","無
","有
","有
","20
","2
","3
","1
","1
",,
,"5
","ちっちゃなお家
","〒674-0092
明石市二見町東二見1379-3
","(078)
944-1325
","福田　洋子
","8:00
","17:00
","無
","有
","有
","5
","5
","0
","0
","0
",,
,"6
","保育所ちびっこランド 愛育貴
崎園
","〒673-0037
明石市貴崎1丁目4-11
","(078)
927-9993
","(株)学栄　保育所ちびっこ
ランド (原口道代)
","7:30
","18:00
","無
","有
","有
","35
","5
","0
","0
","0
",,
,"7
","保育所ちびっこランド 明石鳥
羽園
","〒673-0003
明石市小久保５丁目１１-２
","(078)
926-1145
","齋藤　厚子
","7:30
","18:00
","無
","有
","有
","28
","2
","3
","0
","0
",,
,"8
","こぐまプリスクール明石園
","〒673-0892
明石市本町1-1-28　中村ビ
ル3F
","（078）
914-0867
","松本　昭子
","8:00
","18:00
","無
","有
","有
","60
","5
","1
","0
","1
",,"   ○
(H25.7.2)
"
,"9
","保育所 フレンドリー魚住園
","〒674-0083
明石市魚住町住吉1丁目4-6
","(078)
946-8533
","船津　仁美
","7:00
","19:00
","有
","有
","有
","26
","4
","0
","0
","1
",,
,"10
","谷木赤ちゃんホーム
","〒673-0018
明石市西明石北町1-10-16
","(078)
927-7877
","谷木　恵津美
","8:00
","17:00
","無
","有
","有
","5
","1
","3
","0
","0
",,
,"11
","グンゼスポーツクラブ 明石
西店託児所
","〒673-0041
明石市西明石南町3-4-52
","(078)
929-5672
","グンゼスポーツ（株）
","9:40
","16:00
","無
","有
","無
","53
","0
","3
","1
","0
",,
,"12
","スマイル保育園
","〒673-0023
明石市西新町2丁目2-3
","（078）
929-2851
","山口　真智子
","7:00
","18:30
","無
","有
","有
","15
","2
","0
","0
","2
",,
