,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"阪神北県民局管内



           平成28年4月1日現在
",,,,,,,,,,,,,,,,
"  
","施設名  
"," 所在地    
","電話番号  
","設置者
","受入時間
",,"休日
保育
","時間
預か
 り
","乳児
の受
入
","定員
","職員数
",,,,"  認可外保育施設指導監
者   督基準適合状況
",
,,,,,"開始
","終了
",,,,,"保育士
",,"保育補助者
",,,
,,,,,,,,,,,"常勤非
","非常勤
","勤常勤非
","非常勤
","    特定認可外
勤   保育施設
"," 国証明
(交付日）
"
"1
","富士学園
","〒664-0864
伊丹市安堂寺町6-402
","(072)
782-4820
","藤本　康博
","8:00
","18:00
","無
","無
","無
","244
","4
","1
","3
","2
",,"   ○
(H17.7.1)
"
"2
","コスモス保育園
","〒664-0028
伊丹市西野1丁目72
","(072)
781-9512
","岡田　すみえ
","7:30
","20:00
","無
","有
","有
","20
","3
","0
","2
","0
",,"   ○
(H18.6.26)
"
"3
","保育所リトルラスカル伊丹園
","〒664-0851
伊丹市中央1-5-21
","(072)
775-3111
","飯野　康子
","7:30
","19:30
","無
","有
","有
","25
","2
","1
","1
","0
","○
","   ○
(H27.4.1)
"
"4
","おけいこ付き一時預かりあんふぁん
","〒664-0873
伊丹市野間7丁目16-3伊丹日野ﾋﾞ
ﾙ101
","(070)
6684-
7750
","圓尾　成子
","9:00
","15:00
","無
","有
","無
","10
","1
","0
","1
","0
",,
"5
","たんぽぽ保育園
","〒664-0011
伊丹市鋳物師5-79
","(072)
778-0500
","医療法人
晴風園伊丹今井病院
","8:30
","17:30
","無
","有
","無
","30
","1
","5
","0
","1
",,
"6
","たんぽぽの国
","〒666-0016
川西市中央町6-12
","(072)
756-7890
","中野　栄造
","7:30
","18:30
","無
","有
","無
","14
","1
","2
","0
","6
",,
"7
","コスモス保育園
","〒666-0035
川西市花屋敷1-5-12
","(072)
758-8507
","本郷　ユカリ
","7:30
","19:00
","無
","無
","無
","13
","2
","0
","2
","1
",,"   ○
(H17.7.1)
"
"8
","Ｋ・Ｉキッズ保育園
","〒666-0123
川西市鼓が滝1-4-18
","(072)
792-9788
","岩井　都美子
","7:00
","19:30
","無
","有
","有
","66
","5
","0
","1
","4
",,"   ○
(H17.7.1)
"
"9
","市立川西病院
りんどう保育園
","〒666-0117
川西市東畦野5-21-1
","(072)
794-2321
","川西市
","8:00
","19:00
","無
","有
","有
","16
","5
","1
","0
","0
",,
"10
","キッズスクエア
ウッディ・トーマス
","〒666-0121
川西市平野2丁目11-12-2F
","(072)
793-8838
","石田　誠
","7:30
","19:00
","無
","有
","有
","30
","0
","5
","1
","0
",,"   ○
(H17.7.1)
"
"11
","JR川西
池田キッズルーム
","〒666-0021
川西市栄根2-6-26ＪＲ川西池田駅
１階
","（072)
755-8056
","（株）ジェイアール西日本
交通サービス
","7:30
","20:00
","無
","有
","有
","40
","3
","0
","0
","3
",,"   ○
(H17.7.1)
"
