,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"                わんぱくキッズ


【所在地】           〒652-0036　兵庫区福原町7-10-201

【設置者・設置主体】      高橋　かよ子                            個人

【管理者】           高橋　かよ子

【事業開始年月日】       平成12年4月20日

【届出年月日】         平成28年9月7日

【電話・FAX番号】      (電話）    575-8877          （FAX)   575-8877

【定員・受入時間】       5       人     8：00～2：00

【提供するサービス内容等】
   （休日保育）       有
   （時間預）        有　(１歳児～６歳児)
   （乳児受入）       無

【保険加入状況】        有

【建物の構造】
   （構造）         鉄筋コンクリート造
   （階）          １０階建の２階

【保育室等の面積・㎡】
   （乳児・ほふく室）    ー
   （保育・遊戯室）     20.00
   （屋外遊戯室）      ー


【証明書の交付日】       ー

【指導事項】          立入調査日              平成28年9月7日
",,,,
,,,,
,"項目
","立入調査時の改善指導事項
","区分
","改善確認年月日
"
,"保育従事者数・資格
","ー
",,"未確認
"
,"構造設備・面積
","ー
",,
,"非常災害に対する措置
","ー
",,
,"保育室を２階以上に設ける場合
の条件
","ー
",,
,"保育内容
","ー
",,
,"給食
","ー
",,
,"健康管理・安全確保
","調理に携わる職員に対しておおむね月1回以上検便を実施す
ること。
","重要
",
,,"乳幼児の健康診断の内容が不十分又は記録に不備があるの
で、揃えること。
","軽微
",
,"利用者への情報提供
","ー
",,
,"備える帳簿
","雇入等の労働関係に関する重要な書類の保存をすること。
","重要
",
