,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"                神戸バイリンガルスクール（東垂水）


【所在地】           〒655-0881　垂水区東垂水町字高丸809-8

【設置者・設置主体】      ジャニーナ・タビー                           株式会社

【管理者】           ジャニーナ・タビー

【事業開始年月日】       平成25年9月3日

【届出年月日】         平成25年9月30日

【電話・FAX番号】      (電話）     777-3509           （FAX)   ー

【定員・受入時間】       46       人     9:15-17:00

【提供するサービス内容等】
   （休日保育）       無
   （時間預）        無
   （乳児受入）       無

【保険加入状況】        有

【建物の構造】
   （構造）         鉄筋コンクリート造
   （階）          ２階建の１、２階

【保育室等の面積・㎡】
   （乳児・ほふく室）    ー
   （保育・遊戯室）     77.00
   （屋外遊戯室）      352.00


【証明書の交付日】       平成25年12月25日

【指導事項】          立入調査日               平成28年7月20日
",,,,,
,,,,,
,"項目
","立入調査時の改善指導事項
","区分
","改善確認年月日
",
,"保育従事者数・資格
","ー
",,,
,"構造設備・面積
","ー
",,,
,"非常災害に対する措置
","ー
",,,
,"保育室を２階以上に設ける場合
の条件
","ー
",,,
,"保育内容
","ー
",,,
,"給食
","ー
",,,
,"健康管理・安全確保
","ー
",,,
,"利用者への情報提供
","ー
",,,
,"備える帳簿
","ー
",,,
