,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"                保育ルームぴっぴ

【所在地】           〒651-2274　西区竹の台6-1-1　1F

【設置者・設置主体】      特定非営利活動法人ぴっぴ                       特定非営利活動法人

【管理者】           山口　紀美子

【事業開始年月日】       平成7年5月1日

【届出年月日】         平成14年9月30日

【電話・FAX番号】      (電話）    992-1900           （FAX)   992-1900

【定員・受入時間】       15      人     8:00-18:00

【提供するサービス内容等】
   （休日保育）       無
   （時間預）        有　(生後２ヶ月～５歳児)
   （乳児受入）       有

【保険加入状況】        有

【建物の構造】
   （構造）         木造
   （階）          ２階建の１階

【保育室等の面積・㎡】
   （乳児・ほふく室）    10.00
   （保育・遊戯室）     19.00
   （屋外遊戯室）      16.00


【証明書の交付日】       平成28年7月22日

【指導事項】          立入調査日              平成28年7月21日
",,,,
,,,,
,"項目
","立入調査時の改善指導事項
","区分
","改善確認年月日
"
,"保育従事者数・資格
","ー
",,
,"構造設備・面積
","ー
",,
,"非常災害に対する措置
","ー
",,
,"保育室を２階以上に設ける場合
の条件
","ー
",,
,"保育内容
","ー
",,
,"給食
","ー
",,
,"健康管理・安全確保
","ー
",,
,"利用者への情報提供
","ー
",,
,"備える帳簿
","ー
",,
