,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"                託児所なかよしルーム

【所在地】           〒655-0894　垂水区川原町1-1-20　藤田ハイツⅡ１Ｆ

【設置者・設置主体】      石井　葵                               個人

【管理者】           石井　葵

【事業開始年月日】       平成27年1月1日

【届出年月日】         平成27年6月1日

【電話・FAX番号】      (電話）    955-1587           （FAX)   ー

【定員・受入時間】       6       人     7：45-18：00

【提供するサービス内容等】
   （休日保育）       無
   （時間預）        有　（０歳～６歳）
   （乳児受入）       有

【保険加入状況】        有

【建物の構造】
   （構造）         木造
   （階）          ２階建の１階

【保育室等の面積・㎡】
   （乳児・ほふく室）    ー
   （保育・遊戯室）     19.80
   （屋外遊戯室）      ー


【証明書の交付日】       平成27年10月19日

【指導事項】          立入調査日              平成27年8月27日
",,,,,
,,,,,
,"項目
","立入調査時の改善指導事項
","区分
","改善確認年月日
",
,"保育従事者数・資格
","ー
",,"平成27年10月14日
",
,"構造設備・面積
","ー
",,,
,"非常災害に対する措置
","ー
",,,
,"保育室を２階以上に設ける場合
の条件
","ー
",,,
,"保育内容
","ー
",,,
,"給食
","ー
",,,
,"健康管理・安全確保
","継続して保育する児童については、年2回の健康診断を実施し、施
設で記録を保管すること。
","軽微
",,
,,"睡眠チェック表を利用し，乳幼児突然死症候群の対策について記録
を残すこと。
","軽微
",,
,"利用者への情報提供
","ー
",,,
,"備える帳簿
","ー
",,,
